Title,Description,Address,Price,Beds,Baths,Toilets,Date_Info
Brand New Luxurious 4bedroom Terraced House,4 BEDROOM TERRACED DUPLEX For Sale,Ikota Villa Estate Ikota Lekki Lagos,"₦250,000,000",4,5,5,Updated Today
2 Bedroom Flat In Secured Environment,2 BEDROOM BLOCK OF FLATS FOR RENT,Happy Land Estate Sangotedo Ajah Lagos,"₦4,500,000",2,2,3,"Updated 22 Jun 2026, Added 18 Jun 2026"
2 Br Flat At Oyadiran Estate Yaba For Rent,3 BEDROOM BLOCK OF FLATS FOR RENT,Oyadiran Estate Yaba Yaba Lagos,"₦5,000,000",3,3,4,"Updated 22 Jun 2026, Added 13 Jul 2025"
Spacious 2 Bedroom Terrace,2 BEDROOM TERRACED DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,"₦13,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 11 Mar 2026"
Luxury Serviced 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Right Side Off Whitesand School Road Lekki Lagos,"₦9,500,000/year",2,2,3,"Updated 22 Jun 2026, Added 13 May 2026"
Fully Serviced 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,New Horizon Estate By Coastal Road Ikate Elegushi Lekki Lagos,"₦8,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 13 May 2026"
New Luxurious 4bedroom Terrace,4 BEDROOM TERRACED DUPLEX FOR RENT,Freedom Way Lekki Phase 1 Lekki Lagos,"₦25,000,000",4,4,4,"Updated 22 Jun 2026, Added 08 Nov 2025"
Luxurious 4 Bedroom,4 BEDROOM TERRACED DUPLEX FOR RENT,Freedom Way Ikate Elegushi Lekki Lagos,"₦15,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 14 Oct 2025"
2units Of Sharp Furnished 3 Bedroom Terrace Duplex For Rent In Ikate Lekki,3 BEDROOM TERRACED DUPLEX FOR RENT,Lekki Lagos,"₦12,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 10 Dec 2025"
Executively Furnished 1 Bedroom Apartment,1 BEDROOM FLAT & APARTMENT FOR RENT,Victoria Island Adeola Odeku Victoria Island Lagos,"$20,000/year",1,1,2,"Updated 22 Jun 2026, Added 11 Feb 2026"
To Let Big Shop Facing Road At Anthony,COMMERCIAL PROPERTY FOR RENT,Ikeja Lagos,"₦2,500,000/year",,,,"Updated 22 Jun 2026, Added 16 Feb 2026"
"A Sharp 4bedroom Fully Detached Duplex With Bq, Security Room For Rent Lekki Conservation",4 BEDROOM DETACHED DUPLEX FOR RENT,Lekki Lagos,"₦10,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 12 Jan 2026"
Tastefully Furnished 2 Bedroom Waterfront Apartment,2 BEDROOM FLAT & APARTMENT For Rent,Admiralty Road Lekki Phase 1 Lagos,"₦25,000,000",2,2,3,"Updated 18 Jun 2026, Added 08 Jun 2026"
"Prime Office Space In Lekki Phase 1, Lekki Lagos.",OFFICE FOR RENT,Lekki Phase 1 Lekki Lagos,"₦350,000/sqm",,,,"Updated 22 Jun 2026, Added 31 Jan 2026"
One Bedroom Penthouse For Rent,1 BEDROOM MINI FLAT FOR RENT,Abacha Estate Ikoyi Lagos Abacha Estate Ikoyi Lagos,"₦12,000,000",1,1,2,"Updated 22 Jun 2026, Added 12 Mar 2026"
70 Sqm Ikoyi Office Space For Rent,4 BEDROOM OFFICE FOR RENT,Glover Road Old Ikoyi Ikoyi Lagos,"₦28,000,000",4,4,4,"Updated 22 Jun 2026, Added 05 Jul 2025"
Fully Furnished 3bedroom,3 BEDROOM BLOCK OF FLATS FOR RENT,No: 5 Gbangbala Street Ikate Elegushi Lekki Lagos,"₦17,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 23 Feb 2026"
Newly Built 4 Bed Terrace,4 BEDROOM TERRACED DUPLEX FOR RENT,Parkview Parkview Estate Ikoyi Lagos,"₦100,000,000",4,4,5,"Updated 22 Jun 2026, Added 11 Apr 2026"
Newly Built 3 Bed Apartment,3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase1 Lekki Phase 1 Lekki Lagos,"₦35,000,000",3,3,4,"Updated 22 Jun 2026, Added 11 Apr 2026"
New Furnished 2 Bedroom Apartment With Central Pool & Private Staircase For Rent Ikate Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Lagos,"₦12,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 04 Jun 2026"
5 Bedroom Detached Duplex With Bq,5 BEDROOM DETACHED DUPLEX FOR RENT,Lekki Lagos,"₦20,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 03 Jun 2026"
Newly Built 4bedroom Terrace Duplex With Bq On Two Floors For Rent In Ikoyi,4 BEDROOM TERRACED DUPLEX FOR RENT,Estate Ikoyi Ikoyi Lagos,"₦70,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 29 May 2026"
Self Serviced 3 Bedroom Terrace Duplex,3 BEDROOM TERRACED DUPLEX For Sale,Sangotedo Ajah Lagos,"₦95,000,000",3,,,"Updated 22 Jun 2026, Added 22 Jan 2026"
To Let Standard 2 Bedroom Flat At Ojodu Berger,2 BEDROOM BLOCK OF FLATS FOR RENT,Berger Ojodu Lagos,"₦4,000,000/year",2,2,2,"Updated 22 Jun 2026, Added 11 May 2026"
Well Maintained Sharp Room And Parlor,1 BEDROOM MINI FLAT FOR RENT,Tulip Havens Chevron Alternative Lekki Lagos,"₦3,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 05 May 2026"
Standard Spacious Room Upstairs,1 BEDROOM SHARED APARTMENT FOR RENT,Walking Distance From Jakande 1st Gate B/stop Jakande Lekki Lagos,"₦1,700,000/year",1,1,1,"Updated 22 Jun 2026, Added 23 Apr 2026"
Smart Luxury Living – 4 Bedroom Terrace Duplex,4 BEDROOM TERRACED DUPLEX FOR RENT,Victoria Island Victoria Island Lagos,"₦35,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 26 Apr 2026"
Well Maintained 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,Ikota By Lekki County Ikota Lekki Lagos,"₦3,000,000/year",2,2,2,"Updated 22 Jun 2026, Added 01 May 2026"
Standard Furnished Room Self Contain,1 BEDROOM SELF CONTAIN FOR RENT,Aptech Estate Sangotedo Ajah Lagos,"₦170,000/month",1,1,1,"Updated 22 Jun 2026, Added 12 Apr 2026"
Neatly Renovated 3 And 4 Bedroom Terraced Duplex,4 BEDROOM TERRACED DUPLEX FOR RENT,Agungi Lekki Lagos,"₦8,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 08 May 2026"
Executive Serviced Living – 3 Bedroom Apartment + Bq,3 BEDROOM FLAT & APARTMENT FOR RENT,Ikoyi Ikoyi Lagos,"₦60,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 21 Jun 2026"
To Let Standard Big Shop Ijesha Road Surulere,SHOP FOR RENT,Ijesha Surulere Lagos,"₦2,500,000/year",,,,"Updated 22 Jun 2026, Added 12 May 2026"
To Let 100sqm Office Space At Opebi Ikeja Lagos,OFFICE FOR RENT,Opebi Ikeja Lagos,"₦12,000,000/year",,,,"Updated 22 Jun 2026, Added 12 May 2026"
To Let Standard 2 Bedroom Flat At Ojodu Berger,2 BEDROOM BLOCK OF FLATS FOR RENT,Berger Ojodu Lagos,"₦2,000,000/year",2,2,2,"Updated 22 Jun 2026, Added 17 Feb 2026"
Fresh Self Serviced 5 Bedroom Detached House+ Bq,5 BEDROOM DETACHED DUPLEX For Rent,Parkview Estate Ikoyi Lagos,"₦65,000,000",5,5,6,"Updated 22 Jun 2026, Added 26 May 2026"
Brand New Room And Parlor,1 BEDROOM MINI FLAT FOR RENT,Akins Bus Stop Addo Road Addo Ajah Lagos,"₦1,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 14 May 2026"
To Let Standard 2 Bedroom Flat At Shomolu,2 BEDROOM BLOCK OF FLATS FOR RENT,Shomolu Lagos,"₦2,500,000/year",2,2,2,"Updated 22 Jun 2026, Added 12 May 2026"
To Let Standard Room Self Contain At Aguda Surulere,SELF CONTAIN FOR RENT,Aguda Ogba Ogba Lagos,"₦1,200,000",,,,"Updated 22 Jun 2026, Added 15 May 2026"
To Let Executive Room Self Contain At Shomolu,SELF CONTAIN FOR RENT,Shomolu Lagos,"₦1,200,000/year",,,,"Updated 22 Jun 2026, Added 16 Feb 2026"
To Let Executive Miniflat At Ebute Yaba Lagos,1 BEDROOM MINI FLAT FOR RENT,Ebute Metta Yaba Lagos,"₦2,200,000/year",1,1,1,"Updated 22 Jun 2026, Added 12 May 2026"
Vi Office Space For Let,3 BEDROOM OFFICE FOR RENT,Ajose Adeogun Victoria Island Victoria Island Lagos,"₦49,000,000",3,3,4,"Updated 22 Jun 2026, Added 22 Jul 2025"
Luxury New Room And Parlor,1 BEDROOM MINI FLAT FOR RENT,Off Addo Road Addo Ajah Lagos,"₦1,700,000/year",1,1,2,"Updated 22 Jun 2026, Added 12 May 2026"
To Let Standard 2 Bedroom Flat At Bariga Lagos,2 BEDROOM BLOCK OF FLATS FOR RENT,Bariga Shomolu Lagos,"₦2,500,000/year",2,2,2,"Updated 22 Jun 2026, Added 19 Mar 2026"
Furnished 5 Bed Duplex With 2bq,5 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Parkview Parkview Estate Ikoyi Lagos,"₦60,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 11 Apr 2026"
Luxurious 5 Bedroom Duplex With A Bq & Private Pool,5 BEDROOM DETACHED DUPLEX For Sale,Thomas Estate Ajah Lagos,"₦295,000,000",5,,,"Updated 22 Jun 2026, Added 05 Jun 2026"
To Let Standard Room Self Contain At Bariga Lagos,SELF CONTAIN FOR RENT,Bariga Shomolu Lagos,"₦600,000/year",,,,"Updated 22 Jun 2026, Added 19 Mar 2026"
To Let Executive Newly Built Miniflat At Onigbogbo Maryland,1 BEDROOM MINI FLAT FOR RENT,Maryland Ikeja Lagos,"₦2,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 16 Feb 2026"
Spacious Sharp Semi Master Bedroom,1 BEDROOM SHARED APARTMENT FOR RENT,Opposite Chevron Alternative Oral Estate Lekki Lagos,"₦2,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 14 Jun 2026"
Well Maintained 3 Bedroom,3 BEDROOM FLAT & APARTMENT FOR RENT,Rockstoneville Estate Badore Ajah Lagos,"₦2,100,000/year",3,3,4,"Updated 22 Jun 2026, Added 16 Jun 2026"
Smart Power Living – 4 Bedroom Semi Detached Duplex + Bq,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Ikota Lekki Lagos,"₦11,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 21 Jun 2026"
To Let Standard 2 Bedroom Flat At Ogba Lagos,2 BEDROOM BLOCK OF FLATS FOR RENT,Oke Ira Ogba Lagos,"₦2,500,000/year",2,2,2,"Updated 22 Jun 2026, Added 11 May 2026"
To Let Standard 2 Bedroom Flat At Alagbole Ojodu,2 BEDROOM BLOCK OF FLATS FOR RENT,Martins Yakoyo Alagbole Ojodu Lagos,"₦1,500,000/year",2,2,2,"Updated 22 Jun 2026, Added 11 Feb 2026"
To Let Executive New Room Self Contain Off Pedro Shomolu,SELF CONTAIN FOR RENT,Shomolu Lagos,"₦1,300,000/year",,,,"Updated 22 Jun 2026, Added 12 May 2026"
Luxury And Spacious 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,Adjacent Golden Tulip Oniru Oniru Victoria Island Lagos,"₦14,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 13 May 2026"
Prestige Estate Living – 4 Bedroom Apartment,4 BEDROOM BLOCK OF FLATS FOR RENT,Ikoyi Ikoyi Lagos,"₦45,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 20 Jun 2026"
Lekki 4 Bedroom Semi Detached,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,"Victoria Bay Estate, Nike Art Gallery Road Lekki Phase 1 Lekki Lagos","₦15,000,000",4,4,4,"Updated 22 Jun 2026, Added 30 Jun 2025"
Luxury 4 Bedroom Apartment On 2 Floors +bq+pool+gym In Banana Island Estate,4 BEDROOM FLAT & APARTMENT For Rent,Banana Island Estate Banana Island Ikoyi Lagos,"₦45,000,000",4,4,5,"Updated 21 Jun 2026, Added 24 Apr 2026"
Old Ikoyi Luxurious 3br Apartment For Rent,3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,"₦45,000,000",3,3,4,"Updated 22 Jun 2026, Added 15 Jul 2025"
400sqm Office Space For Rent In Victoria Island,4 BEDROOM OFFICE FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,"₦44,000,000",4,4,4,"Updated 22 Jun 2026, Added 05 Jul 2025"
Spacious 3bedroom Semidetached Duplex With Massive Compound For Rent Chevron Lekki,3 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Estate Lekki Lagos,"₦9,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 28 Feb 2026"
Tastefully Furnished 2 Bedroom Apartment,2 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Ikoyi Lagos,"₦40,000,000",2,2,3,"Updated 22 Jun 2026, Added 01 Sep 2025"
Spacious Mini Flat,1 BEDROOM MINI FLAT FOR RENT,Along Lekki Expressway Lekki Lagos,"₦4,000,000/year",1,1,1,"Updated 22 Jun 2026, Added 03 Nov 2025"
To Let Executive Newly Built Miniflat Off Ojuelegba Surulere Lagos,1 BEDROOM MINI FLAT FOR RENT,Ojuelegba Surulere Lagos,"₦2,200,000/year",1,1,1,"Updated 22 Jun 2026, Added 24 Feb 2026"
To Let Executive New Miniflat At Pedro Shomolu,1 BEDROOM MINI FLAT FOR RENT,Shomolu Lagos,"₦2,000,000/year",1,1,1,"Updated 22 Jun 2026, Added 16 Feb 2026"
Serviced Value Living – 2 Bedroom Apartment,2 BEDROOM BLOCK OF FLATS FOR RENT,Orchid Lekki Lagos,"₦8,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 26 Apr 2026"
Live Or Work Big – 5 Bedroom Fully Detached Duplex + Bq,5 BEDROOM DETACHED DUPLEX FOR RENT,Osapa Lekki Lagos,"₦20,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 26 Apr 2026"
Palm Crest Phase 3 Iseyin For Sale In Oyo State At Palm Crest Phase 3,COMMERCIAL LAND For Sale,Palm Crest Phase 3 Iseyin Oyo State Iseyin Ibadan Oyo,"₦13,750,000",,,,"Updated 22 Jun 2026, Added 10 May 2026"
Move In Ready Comfort – 4 Bedroom Fully Furnished Apartment,4 BEDROOM DUPLEX FOR RENT,Salem Lekki Lagos,"₦25,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 28 Apr 2026"
2 Bedroom Fully Furnished Apartment In A Good Location,2 BEDROOM BLOCK OF FLATS FOR RENT,Ilasan Lekki Lagos,"₦13,000,000",2,2,3,"Updated 22 Jun 2026, Added 07 Jun 2026"
Ideal Furnished 4 Bedroom Apartment For Executives,4 BEDROOM FLAT & APARTMENT FOR RENT,Victoria Island Adeola Odeku Victoria Island Lagos,"₦70,000,000/year",4,3,5,"Updated 22 Jun 2026, Added 11 Feb 2026"
Commercial Office For Rent At Victoria Island Lagos,TERRACE FOR RENT,Law School Victoria Island Victoria Island Lagos,"₦74,400,000",,,,"Updated 22 Jun 2026, Added 11 Feb 2026"
To Let Standard 4 Bedroom Duplex At Ogudu Gra,4 BEDROOM DUPLEX FOR RENT,Ogudu Gra Ogudu Lagos,"₦15,000,000/year",4,4,4,"Updated 22 Jun 2026, Added 11 Feb 2026"
Tastefully Finished 4 Bedroom Detached Duplex With Solar,4 BEDROOM DETACHED DUPLEX FOR RENT,Lekki Palm City Estate Off Addo Road Ajah Ajah Lagos,"₦12,000,000",4,4,5,"Updated 22 Jun 2026, Added 09 Apr 2026"
Luxury Room Apartment,1 BEDROOM SHARED APARTMENT FOR RENT,Off Lekki Conservation Road Lekki Lagos,"₦1,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 04 Apr 2026"
Spacious Serviced 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,Off Whitesands Intl School Road Ikate Elegushi Lekki Lagos,"₦9,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 06 Apr 2026"
Spacious Serviced 2 Bedroom,2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Right Off Whitesands Schl Rd Ikate Elegushi Lekki Lagos,"₦9,500,000/year",2,2,3,"Updated 22 Jun 2026, Added 06 Apr 2026"
Furnished And Spacious Room And Parlor,1 BEDROOM MINI FLAT FOR RENT,Ikate Elegushi Lekki Lagos,"₦25,000,000/year",1,1,2,"Updated 22 Jun 2026, Added 09 Apr 2026"
Furnished 3bedroom Terrace Duplex For Rent In Ikate Chisco Lekki,3 BEDROOM HOUSE FOR RENT,Lekki Lagos,"₦17,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 27 May 2026"
Furnished Waterfront 3 Bedroom Apartment +bq,3 BEDROOM FLAT & APARTMENT For Rent,Off Awolowo Road Ikoyi Ikoyi South West Lagos,"₦45,000,000",3,3,4,"Updated 21 Jun 2026, Added 07 Feb 2026"
"Ikoyi , Osborne 5br Detached Hs For Rent",5 BEDROOM DETACHED DUPLEX FOR RENT,Osborne Foreshore Phase1 Osborne Foreshore Estate Ikoyi Lagos,"₦120,000,000",5,5,6,"Updated 22 Jun 2026, Added 13 Jul 2025"
To Let Executive Fully Furnished 3 Bedroom Flat At Aguda Ogba,3 BEDROOM BLOCK OF FLATS FOR RENT,Aguda Ogba Ogba Lagos,"₦9,000,000/year",3,3,3,"Updated 22 Jun 2026, Added 11 May 2026"
Spacious Furnished Studio Apartment For Rent Comes With Shared/open Kitchen Orchid Lekki,1 BEDROOM SHARED APARTMENT FOR RENT,Estate Lekki Lagos,"₦2,800,000/year",1,1,1,"Updated 22 Jun 2026, Added 19 Jun 2026"
Fully Serviced Master Bedroom,1 BEDROOM SHARED APARTMENT FOR RENT,Abraham Adesanya Ajah Lagos,"₦1,300,000/year",1,1,1,"Updated 22 Jun 2026, Added 30 Apr 2026"
2 Units Of 5 Bedroom Detached House+ Chalets+ Bqs,10 BEDROOM DUPLEX FOR RENT,Glover Road Ikoyi Old Ikoyi Ikoyi Lagos,"₦250,000,000/year",10,10,10,"Updated 22 Jun 2026, Added 25 Mar 2026"
Luxury Room And Parlor Upstairs,1 BEDROOM MINI FLAT FOR RENT,Chevron Alternative Route Lekki Lagos,"₦3,800,000/year",1,1,2,"Updated 22 Jun 2026, Added 15 May 2026"
Newly Renovated 4 Bedroom Duplex,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Off Chisco Bus Stop Ikate Elegushi Lekki Lagos,"₦12,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 15 May 2026"
Well Maintained Serviced Room And Parlor,1 BEDROOM MINI FLAT FOR RENT,Off Durosimi Etti Lekki Phase 1 Lekki Lagos,"₦6,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 14 May 2026"
To Let Standard Room Self Contain At Abule Ijesha Yaba,SELF CONTAIN FOR RENT,Abule Ijesha Yaba Lagos,"₦1,000,000/year",,,,"Updated 22 Jun 2026, Added 12 May 2026"
Land For Sale At Vgc Lekki Victoria Garth Castle Estate,RESIDENTIAL LAND For Sale,Victoria Garth Castle Main Lekki Lagos Victoria Garden City Lekki Lagos,"₦390,000,000",,,,"Updated 22 Jun 2026, Added 21 Apr 2026"
Self Gated 4bedroom Semidetached Duplex With Bq For Rent In A Secured Estate Orchid Road Lekki,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Lekki Lagos,"₦7,500,000/year",4,4,5,"Updated 22 Jun 2026, Added 15 Dec 2025"
Premium Executive Apartments For Corporate Tenants,3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,"₦60,000,000/year",3,4,4,"Updated 22 Jun 2026, Added 23 Dec 2025"
12 Units Of 3 Bed Apartment With 1bq,3 BEDROOM BLOCK OF FLATS FOR RENT,Dideolu Oniru Victoria Island Lagos,"₦25,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 04 May 2026"
Serviced 4 Bed Terrace Duplex,4 BEDROOM TERRACED DUPLEX FOR RENT,Lekki Phase1 Lekki Phase 1 Lekki Lagos,"₦25,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 23 Apr 2026"
Massive Sharp 5bedroom Detached Duplex With Bq & Pool For Rent Osapa London Estate Lekki,5 BEDROOM DETACHED DUPLEX FOR RENT,Osapa London Lekki Lagos,"₦25,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 02 Jun 2026"
Brand New Furnished 3 Bedroom Terrace Duplex With Central Pool For Rent In Ikate Lekki,3 BEDROOM TERRACED DUPLEX FOR RENT,Lekki Lagos,"₦17,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 04 Jun 2026"
Spacious 2bedroom Serviced Apartment On The 5th Floor.,2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Elegushi Lekki Lagos,"₦8,000,000",2,2,3,"Updated 22 Jun 2026, Added 31 May 2026"
Tastefully Furnished 1 Bedroom + Swimming Pool,1 BEDROOM BLOCK OF FLATS FOR RENT,Osapa London Lekki Lagos,"₦6,000,000",1,1,2,"Updated 22 Jun 2026, Added 25 May 2026"
Well Maintained 4 Bedroom Detached Duplex In Serene Envt,4 BEDROOM DETACHED DUPLEX FOR RENT,Lekki Right By Salem Lekki Lagos,"₦20,000,000",4,5,6,"Updated 22 Jun 2026, Added 09 Jun 2026"
Luxurious 4bedroom Terrace,4 BEDROOM TERRACED DUPLEX FOR RENT,Royal Palms Court Thomas Estate Ajah Lagos,"₦7,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 27 Jan 2026"
Newly Renovated 3 Bedrooms Apartment,3 BEDROOM BLOCK OF FLATS FOR RENT,Ogudu Gra Ogudu Lagos,"₦8,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 26 Sep 2025"
Luxury 3 Bedroom Apartment With Excellent Views +bq+furniture+swimming Pool+gym Etc,3 BEDROOM BLOCK OF FLATS For Rent,Off Awolowo Road Ikoyi Ikoyi South West Lagos,"$40,000",3,3,4,"Updated 22 Jun 2026, Added 09 Jun 2026"
Shared Furnished Room In Shared Apartment,1 BEDROOM SHARED APARTMENT FOR RENT,Sangotedo Ajah Lagos,"₦55,000/month",1,1,1,"Updated 22 Jun 2026, Added 18 Apr 2026"
Open Space For Fries,SHOP FOR RENT,Osapa London Osapa London Lekki Lagos,"₦2,500,000/year",,,,"Updated 22 Jun 2026, Added 28 May 2026"
4 Bedroom Semi Detached Duplex,4 BEDROOM DETACHED DUPLEX FOR RENT,Victoria Garden City Lekki Lagos,"₦13,000,000/year",4,,,"Updated 22 Jun 2026, Added 16 Sep 2025"
Luxury 3 Bedroom Apartment With Boys' Quarters For Rent,3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,"₦20,000,000",3,3,4,"Updated 22 Jun 2026, Added 11 Feb 2026"
"Spacious 5 Bedroom Semi Detached Duplex For Rent In Banana Island, Ikoyi Lagos.",5 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Banana Island Ikoyi Lagos,"₦100,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 23 Feb 2026"
Newly Built 4bedroom Terrace Duplex With Central Pool For Rent In Ologolo Lekki,4 BEDROOM DUPLEX FOR RENT,Ologolo Lekki Lagos,"₦9,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 27 May 2026"
Luxury Serviced Room Upstairs,1 BEDROOM SHARED APARTMENT FOR RENT,Royal Pine Estate Orchid Road Lekki Lagos,"₦1,900,000/year",1,1,1,"Updated 22 Jun 2026, Added 30 Apr 2026"
4 Bedroom Semi Detached Duplex + Bq,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Orchid Lekki Lagos,"₦13,500,000/year",4,4,5,"Updated 22 Jun 2026, Added 26 Apr 2026"
Luxury Well Maintained 4 Bed Duplex,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Lekki Right Side Lekki Phase 1 Lekki Lagos,"₦30,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 09 May 2026"
Primed 1367sqm With Building Approval For 6 Units Of 3 Bedroom Terrace Duplex,RESIDENTIAL LAND For Sale,Creek Haven Estate Beside Vgc Victoria Garden City Lekki Lagos,"₦588,000,000",,,,"Updated 22 Jun 2026, Added 02 May 2026"
Luxury Parlor Space,1 BEDROOM SHARED APARTMENT FOR RENT,Opposite Chevron Oral Estate Lekki Lagos,"₦2,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 14 Jun 2026"
Luxury 5 Bedroom Duplex,5 BEDROOM DETACHED DUPLEX FOR RENT,Chevron Alternative Chevron Drive Lekki Lagos,"₦25,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 13 Jun 2026"
Fully Furnished 3 Bedroom Apartment With 1 Room Oom Bq For Rent,3 BEDROOM BLOCK OF FLATS FOR RENT,Ruxton Road Old Ikoyi Ikoyi Lagos,"₦65,000,000",3,3,4,"Updated 22 Jun 2026, Added 11 Jun 2026"
Sharp Room Apartment Upstairs,1 BEDROOM SHARED APARTMENT FOR RENT,In A Secure Estate Off Badore Road Badore Ajah Lagos,"₦700,000/year",1,1,1,"Updated 22 Jun 2026, Added 14 Jun 2026"
Premium Finished Fully Furnished 3 Bedroom Apartment For Rent,3 BEDROOM BLOCK OF FLATS FOR RENT,Osapa Lekki Lagos,"₦15,000,000",3,3,4,"Updated 22 Jun 2026, Added 20 Jun 2026"
Studio Apartments,1 BEDROOM STUDIO APARTMENT FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,"₦5,500,000",1,1,1,"Updated 22 Jun 2026, Added 05 May 2026"
Ikoyi 4 Room Office Space For Rent,4 BEDROOM OFFICE FOR RENT,Mobolaji Johnny Old Ikoyi Ikoyi Lagos,"₦16,000,000",4,4,5,"Updated 22 Jun 2026, Added 13 Jul 2025"
For Lease Executive 5 Bedroom Duplex At Magodo Phase One,5 BEDROOM DUPLEX FOR RENT,Magodo Gra Phase 1 Ojodu Lagos,"₦12,000,000/year",5,5,5,"Updated 22 Jun 2026, Added 11 Feb 2026"
Fully Serviced Studio Apartment,1 BEDROOM STUDIO APARTMENT FOR RENT,Bourdillon Court Estate Chevron Drive Lekki Lagos,"₦2,200,000/year",1,1,1,"Updated 22 Jun 2026, Added 08 May 2026"
Luxury Standard Studio Apartment,1 BEDROOM STUDIO APARTMENT FOR RENT,Ikota Gra Ikota Lekki Lagos,"₦2,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 21 Apr 2026"
Spacious Studio Apartment,1 BEDROOM STUDIO APARTMENT FOR RENT,Ikota Gra Ikota Lekki Lagos,"₦2,500,000/year",1,1,1,"Updated 22 Jun 2026, Added 01 May 2026"
Fully Furnished Sefcon,1 BEDROOM STUDIO APARTMENT For Rent,Coza Guzape Abuja Phase 1,"₦5,000,000",1,1,1,"Updated 22 Jun 2026, Added 29 Mar 2026"
Luxurious 3bedrooms Penthouse,3 BEDROOM BLOCK OF FLATS FOR RENT,Bourdillion Bourdillon Ikoyi Lagos,"₦30,000,000/year",3,3,4,"Updated 22 Jun 2026, Added 24 Jul 2025"
To Let Standard Shop At Aguda Ogba,SHOP FOR RENT,Ogba Lagos,"₦1,200,000/year",,,,"Updated 22 Jun 2026, Added 15 May 2026"
Luxury 1 Bedroom Executive Miniglat With Balcony+ Fitted Kitchen,1 BEDROOM MINI FLAT FOR RENT,Chevron Drive Lekki Lagos,"₦4,700,000",1,,,"Updated 22 Jun 2026, Added 11 May 2026"
