Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
To Let Standard 2 Bedroom Flat At Aguda Surulere,Aguda Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,2,2,2.0,2026-04-29,5000000
A Sharp Spacious Selfcon With Separate Traditional Kitchen For Rent In Osapa Lekki,Osapa Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,1,1,1.0,2026-06-11,2900000
Executive 2 Bedroom Flat,Ajayi Road Ogba Lagos,Detached / Semi-Detached Duplex,Ogba,Lagos,2,2,2.0,2026-06-16,2500000
Newly Built 4 Bed Terrace Duplex With 1bq,Vi Victoria Island Lagos,Self Contain / Shared Room,Victoria Island,Lagos,4,4,5.0,2026-01-28,40000000
A Sharp Spacious Room With Separate Kitchen In Osapa Lekkikitchen For Rent,Osapa Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,1,1,1.0,2026-06-11,2900000
Exquisitely Furnished 5 Bed Duplex,Off Palm Springs Road By Megamound Estate Ikate Elegushi Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-01-25,35000000
Tastefully Furnished Room And Parlor,Awolowo Road Ikoyi Lagos,Mini Flat,Ikoyi,Lagos,1,1,2.0,2026-01-28,16000000
Exquisitely Furnished 5 Bed Duplex,Osapa London Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-05-30,25000000
Luxury Fully Serviced Studio Apartment,Bourdillon Court Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-05-29,2000000
To Let Standard Miniflat At Bariga Lagos,Bariga Shomolu Lagos,Mini Flat,Bariga,Lagos,1,1,1.0,2026-05-02,2000000
Very Sharp Room And Parlor,Ikota Before Vgc Ikota Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2026-06-02,4600000
Luxury 7 Unit Of 4 Bedroom Terrace Duplex With Bq,Opebi Ikeja Opebi Ikeja Lagos,Self Contain / Shared Room,Ikeja,Lagos,4,4,5.0,2025-07-17,15000000
To Let Standard Miniflat Off Pedro Shomolu,Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2025-12-30,1400000
Tastefully 3 Bedroom Duplex,Abijo Gra Abijo Ajah Lagos,Terraced Duplex,Ajah,Lagos,3,3,4.0,2026-01-25,9000000
To Let Executive Room Self Contain At Bariga Lagos,Bariga Shomolu Lagos,Standard Flat / Apartment,Bariga,Lagos,0,0,0.0,2026-05-02,700000
Executive 3 Bedroom Flat For 10yrs Lease At Ebute Metta,Ebute Metta Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,3.0,2025-12-04,40000000
"A Waterfront Office Space In Banana Island, Ikoyi Lagos.",Banana Island Ikoyi Lagos,Other,Ikoyi,Lagos,0,0,0.0,2026-01-30,300000
"To Let – Newly Built 4 Bedroom Semi Detached Duplex, Ikota, Lekki",Ikota Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2025-11-20,11000000
Luxury Serviced Master Bedroom,Van Daniel Estate Orchid Road Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-02-28,2500000
To Let Executive Room Self Contain At Aguda Ogba,Aguda Ogba Ogba Lagos,Standard Flat / Apartment,Ogba,Lagos,0,0,0.0,2026-01-09,1000000
A Partly Furnished Single Room Selfcon For Rent Shared Apartment Before Orchid Roundabout Lekki,Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2025-06-29,1500000
Coastal Duplex Living – 3 Bedroom Maisonette + Bq,Ikate Elegushi Lekki Lagos,Other,Lekki,Lagos,3,3,4.0,2026-04-28,15000000
Luxurious Blocks Of 3br Flats For Rent,Lekki 1 Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-09-27,25000000
"New Horizon 2 , 2 Bedroom Apartments For Rent",Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2025-09-27,8500000
5 Bedroom Fully Detached Duplex With 2 Bqs,"Osapa, Lekki, Lagos Osapa Lekki Lagos",Terraced Duplex,Lekki,Lagos,5,4,5.0,2025-07-10,12000000
Tastefully Spacious Master's Bedroom In A Shared Apartment For Rent New House Orchid Road Lekki,Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2025-07-07,2500000
"Newly Built Luxury 5beds Detached Duplex With Bq,pool For Rent In A Secured Estate Ajah",Estate Ajah Ajah Lagos,Terraced Duplex,Ajah,Lagos,5,5,6.0,2025-07-25,18000000
Tastefully Sharp Furnished Miniflat With Private Fitted Kitchen For Rent In A Secured Estate Orchid,Estate Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2025-08-08,4000000
A Self Gated 4bedroom Semidetached Duplex With 2bqs For Rent Off Admiralty Way Lekki Phase1,Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2025-09-11,25000000
Massive Master's Bedroom With Open Plan Kitchen In A Shared Apartment B4 Roundabout Orchid Lekki,Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2025-09-11,3300000
3 Bedroom Luxury & Fully Serviced Apartment With Bq For Rent V.island Off Ahmadu Bello Way,Ahmadu Bello Way Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,4.0,2025-09-11,16000000
"Luxury 5 Bedroom Fully Detached Duplex + Bq For Rent In Chevron, Lekki",Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2025-09-12,12000000
A Sharp Single Room Selfcon Shared Apartment For Rent Before Roundabout Orchid Road Lekki,Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2025-09-14,1500000
A Sharp 4bedroom Terrace Duplex With Bq For Rent Admiralty Road Lekki Phase1 Waterfront,Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2025-09-01,30000000
"Furnished 3bedroom Terrace Duplex For Rent In Banana Island, Ikoyi Lagos.",Banana Island Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,3,3,3.0,2025-08-26,38000000
Elegant 4 Bedroom Apartment (furnished / Unfurnished),Orchid Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2025-08-28,12000000
Tastefully 5bedroom Detached Duplex With Bq For Rent In Osapa London Lekki,Osapa London Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2025-09-02,14000000
To Let Executive Room Self Contain At Ifako Gbagada,Ifako Gbagada Gbagada Lagos,Standard Flat / Apartment,Gbagada,Lagos,0,0,0.0,2025-12-04,1100000
Effortless Living – 2 Bedroom Furnished Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-04-15,25000000
3 Bedroom Terrace Duplex + Bq,Victoria Island Lagos,Self Contain / Shared Room,Victoria Island,Lagos,3,3,4.0,2026-04-15,35000000
To Let Executive Newly Built 2 Bedroom Flat At Soluyi Gbagada,Soluyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2.0,2026-04-29,5000000
To Let Executive Newly Built Room Self Contain At Shomolu,Shomolu Lagos,Standard Flat / Apartment,Shomolu,Lagos,0,0,0.0,2026-04-29,1300000
To Let Executive Miniflat At Fadeyi Lagos,Fadeyi Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-04-30,2500000
To Let Executive Room Self Contain At Fadeyi Shomolu,Fadeyi Shomolu Lagos,Standard Flat / Apartment,Shomolu,Lagos,0,0,0.0,2026-04-30,1600000
Luxury Room And Parlor,Lekki Right Lekki Phase 1 Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2026-06-08,8000000
Luxury Semi Master Bedroom,Royal Pine Estate Orchid Road Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2.0,2026-06-08,2300000
To Let Standard Miniflat At Aguda Surulere Lagos,Aguda Surulere Lagos,Mini Flat,Surulere,Lagos,1,1,1.0,2026-06-05,1800000
Tastefully Furnished 3 Bedroom,Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-09,25000000
City Comfort Living – 3 Bedroom Apartment + Bq,Victoria Island Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,4.0,2026-04-17,25000000
Lekki 2 Oral Estate 4 Bedrrom Property For Rent,Oral Estate Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,4,4,5.0,2026-05-06,12000000
To Let Executive Newly Built 4 Bedroom Terrace Duplex At Ojodu Berger,Berger Ojodu Lagos,Self Contain / Shared Room,Ojo,Lagos,4,4,4.0,2026-05-05,9000000
To Let Executive Newly Built Miniflat At Ijesha Surulere,Ijesha Surulere Lagos,Mini Flat,Surulere,Lagos,1,1,1.0,2026-05-04,2500000
2 Bedroom Fully Furnished Apartment,Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-04-15,16000000
4 Bedroom Terrace,Parkview Estate Parkview Estate Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-05-23,70000000
Newly Renovated 3 Bedroom,In Secure Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,3,3,4.0,2026-06-13,2200000
Structured Luxury Living – 4 Bedroom Terrace Duplex + Bq,Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-04-19,60000000
Luxury Room Apartment,Walking Distance From The B/stop Jakande Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-04-02,1700000
Luxury 2 Bedroom,Osborne Foreshore Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,3.0,2026-05-28,20000000
Newly Built Self Service 5bedroom Detached Duplex With Bq For Rent In Chevron Tollgate Lekki,Estate Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-05-27,25000000
Newly Renovated Studio Apartment,Off Platinum Way Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-05-26,2000000
Luxury Studio Room And Parlor,Van Daniel Estate Orchid Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2026-05-29,4000000
Luxury New 4 Bedroom Duplex,Off Harris Drive Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-05-25,13000000
Luxury Spacious Studio Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-03-28,3300000
Hotel Style Living – 2 Bedroom Furnished Apartment,Victoria Island Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,3.0,2026-03-29,40000000
Ultra Luxury Living – 3 Bedroom Furnished Apartment,Victoria Island Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,4.0,2026-03-29,60000000
Tastefully Finished New 2 Bedroom,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-18,15000000
Luxury Fully Furnished & Serviced 4 Bedroom Duplex With Premium Facilities,Ikoyi Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,4,4,5.0,2026-03-18,50000000
Spacious 5 Bedroom Fully Detached Duplex,Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-03-13,15000000
Fully Furnished Studio Apartment,Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,1,1,1.0,2026-03-11,6500000
Fully Serviced 3 Bedroom Duplex,Off Alpha Beach Road Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,3,3,4.0,2026-03-25,8500000
Newly Built 4 Bed Semi Detached Duplex,Lekki Phase1 Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-05-20,30000000
3 Bedroom Flat,Lekki 1 Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-05-23,20000000
Spacious And Well Maintained 3 Bed,Olokonla Axis Sangotedo Lagos,Detached / Semi-Detached Duplex,Sangotedo,Edo,3,3,4.0,2026-05-21,4500000
Furnished And Fully Serviced 2 Bed,Cyberville Estate By The New Coastal Road Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-24,9000000
Luxury Spacious Master Bedroom,Royal Pine Estate Orchid Road Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-03-19,3100000
Modern 2 Bedroom Apartment With Private Cinema Room,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-17,18000000
Well Maintained 4 Bedroom Fully Detached Duplex With Boys’ Quarters,Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-17,10000000
Tastefully Furnished Studio Apartment,Oba Idowu Abiodun Road Oniru Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,1,1,1.0,2026-03-20,6500000
Portable Room And Parlor,Van Daniel Estate Orchid Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,1.0,2026-03-16,2800000
Tastefully Finished 3 Bedroom,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-17,10000000
Spacious 4 Bedroom Duplex,Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-15,10000000
Ikoyi Banana 4bedroom Apartment For Rent,Banana Island Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,4,4,5.0,2026-05-13,45000000
Lovely 5 Bed Terrace Duplex,Ikate Ikate Elegushi Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,5,5,6.0,2026-05-13,24000000
Ikoyi Banana Estate 4 Bedroom Terrace For Rent,Banana Island Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-05-16,70000000
Ikeja Gra 4 Bedroom House N Bq For Rent,Ikeja Gra Ikeja Gra Ikeja Lagos,Terraced Duplex,Ikeja,Lagos,0,0,0.0,2026-05-16,25000000
Ikoyi Banana 4 Bedroom Maisonette For Rent,Banana Estate Banana Island Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,5.0,2026-05-15,50000000
Luxury 2 Bedroom Flat,Sangotedo Lagos,Detached / Semi-Detached Duplex,Sangotedo,Edo,2,2,3.0,2026-05-18,3000000
4 Bedroom House,Pral Estate Lekki 2 Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-05-14,12000000
1 Furnished 2bedroom Flat,Cyberville Estate Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-05-14,10000000
Luxury 4 Bedroom Terrace Duplex With Bq For Rent,Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2025-11-20,18000000
"Unfurnished 3 Bedroom Mansionette – Ikate, Lekki",Ikate Elegushi Lekki Lagos,Other,Lekki,Lagos,3,3,4.0,2025-11-20,9000000
To Let 4 Bedroom Detached Duplex With Bq,Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2025-11-21,13000000
To Let Newly Renovated 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2025-11-21,9000000
"Fully Serviced Brand New 2 Bedroom Apartment – Off Freedomway, Lekki",Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2025-11-21,13000000
Lekki Phas1 3brm Flat For Rent,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2025-11-07,20000000
Furnished 3 Bedroom Apartment For Rent Beside Primewater Off Ffeedom Way Lekki Phase1,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2025-10-23,12000000
"Brand New Fully Serviced 2 Bedroom Apartment With Pool & Gym | Agungi, Lekki",Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2025-10-27,7000000
Spacious Room (upstairs),Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2025-10-10,1600000
Ikoyi 3bedrm Flat For Rent,Gerald Road Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2025-10-10,2700000
To Let Executive Miniflat At Kilo Surulere,Masha Surulere Lagos,Mini Flat,Surulere,Lagos,1,1,1.0,2025-12-29,2000000
Luxury Spacious Self Contain,Northern Foreshore Estate Chevron Drive Lekki Lagos,Other,Lekki,Lagos,1,1,1.0,2026-01-23,2500000
To Let Executive Standard 3 Bedroom Flat At Magodo Phase One,Magodo Gra Phase 1 Ojodu Lagos,Detached / Semi-Detached Duplex,Ojo,Lagos,3,3,3.0,2026-01-23,6000000
To Let Executive Standard 3 Bedroom Flat At Ojodu Berger,Berger Ojodu Lagos,Detached / Semi-Detached Duplex,Ojo,Lagos,3,3,3.0,2026-01-23,5000000
To Let Executive Newly Built 2 Bedroom Flat At Ojodu Berger,Berger Ojodu Lagos,Detached / Semi-Detached Duplex,Ojo,Lagos,2,2,2.0,2026-01-23,3500000
"3 Bedroom Apartment In Ikoyi, Lagos.",Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-01-19,55000000
Commercial Office Space For Lease At Fagba Agege,Fagba Agege Lagos,Commercial Property,Agege,Lagos,0,0,0.0,2026-01-23,7000000
Newly Built 4 Bedroom Duplex,Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-01-24,25000000
Luxury 4 Bedroom Duplex,An Estate By Abraham Adesanya Abraham Adesanya Ajah Lagos,Terraced Duplex,Ajah,Lagos,4,4,5.0,2026-01-22,9000000
Sharp Well Maintained 4 Bed Duplex,Osapa London Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-02-15,9000000
Exquisitely Finished 5 Bed Duplex,Victory Park Estate Osapa Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-02-16,50000000
Spacious Waterfront 3 Bedroom Apartment With Premium Recreational Facilities,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-05,16000000
Tastefully Finished 3 Bedroom,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-05,20000000
Newly Built 4 Bed Duplex With 1bq,Osapa London Osapa London Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-06,20000000
Spacious Standard Studio Apartment,Off Lekki Conservation Road Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-03-07,2400000
Spacious Fully Serviced Room And Parlor,Orchid Hotel Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2.0,2026-03-07,4500000
Premium 4 Bedroom Luxury Apartment With Hotel Grade Amenities,Ademola Adetokunbo Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,4,4,5.0,2026-03-07,50000000
Spacious And Modern 4 Bedroom Luxury Duplex Terrace For Rent,Oniru Victoria Island Lagos,Terraced Duplex,Victoria Island,Lagos,4,4,5.0,2026-03-09,30000000
Fully Furnished 4 Bedroom Maisonette With Boys’ Quarters,Parkview Estate Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,5.0,2026-03-09,35000000
Semi Furnished 4 Bedroom Terrace Duplex With Inverter,Ikota Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-03-09,10000000
Well Maintained 4 Bedroom Fully Detached Duplex With Boys’ Quarters,Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-09,10000000
Fully Serviced 2 Bedroom Apartment With Premium Entertainment Facilities,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-08,15000000
Brand New Luxury 4 Bedroom Semi Detached Duplex With Swimming Pool,Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-08,35000000
Fully Furnished 4 Bedroom Terraced Duplex In A Prime Lekki Location,Ikate Elegushi Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-03-09,20000000
"Brand New, Fully Serviced 4 Bedroom Terrace Duplex With Boys’ Quarters",Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-03-09,30000000
Luxury Spacious Room And Parlor,"Off Orchid Road, Not Far From The B/stop Lekki Lagos",Mini Flat,Lekki,Lagos,1,1,2.0,2026-03-10,4500000
"4 Bed + Bq || 15 Million || Orchid, Lekki, Lagos",Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-04,15000000
To Let Executive Miniflat Off Pedro Shomolu Lagos,Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2025-12-30,2200000
To Let Executive Newly Built Room Self Contain At Itire Surulere Lagos,Itire Ikate Surulere Lagos,Standard Flat / Apartment,Surulere,Lagos,0,0,0.0,2025-12-31,1500000
To Let Executive Newly Built Miniflat At Yakoyo Ojodu Berger,Yakoyo Yakoyo Alagbole Ojodu Lagos,Mini Flat,Ojo,Lagos,1,1,1.0,2025-12-31,1500000
To Let Big Hall At Bucknor Isolo,Bucknor Estate Isolo Lagos,Other,Isolo,Lagos,0,0,0.0,2026-01-08,2000000
Tastefully Furnished 4 Bed Duplex,Off Harris Drive Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-02-06,15000000
Ikoyi Banana Island 4bed Terrace For Lease,Banana Island Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-02-06,75000000
Well Maintained 4 Bedroom Duplex,Osapa Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-02-04,9000000
Tastefully Finished New 4 Bed Duplex,Idado Estate Idado Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-02-26,20000000
Furnished And Fully Serviced 2 Bedroom,Ajanaku Estate Ikate Right Side Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-02-22,11000000
Luxury Serviced 3 Bedroom Duplex,Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,3,3,4.0,2026-02-24,9000000
Tastefully Newly Built & Spacious 2 Bedroom Apartment For Rent Ilasan Lekki (upstairs),Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2025-07-02,10000000
Luxury 5 Bedroom Duplex,Lekki Scheme 2 Estate Abraham Adesanya Ajah Lagos,Terraced Duplex,Ajah,Lagos,5,6,5.0,2026-01-21,15000000
Spacious Master Bedroom,Salem Axis Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-05-29,4500000
Standard Miniflat,Igando Ikotun Igando Lagos,Mini Flat,Ikotun Igando,Lagos,1,1,1.0,2026-06-03,600000
To Let Executive 3 Bedroom Flat At Aguda Surulere,Aguda Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,3,3,3.0,2026-05-07,4000000
Luxury Spacious Standard 2 Bedroom Duplex + Free Bq (self Serviced),Chisco Ikate Ikate Elegushi Lekki Lagos,Terraced Duplex,Lekki,Lagos,2,2,3.0,2025-10-10,10000000
To Let Executive 3 Bedroom Flat At Ikate Surulere,Itire Ikate Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,3,3,3.0,2026-04-29,4500000
3 Bedroom Terrace Duplex,Osapa London Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,3,2,4.0,2025-08-18,7000000
Newly Built 2 Bedroom,Off Palm Springs Road(spar Road) Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-02-05,10000000
Tastefully Furnished 2 Bedroom,Off Ojulari Street By Chisco B/stop Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-29,16000000
To Let Decent Miniflat At Ifako Gbagada,Ifako Gbagada Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,1,1.0,2026-04-29,2500000
To Let Standard Miniflat At Obawole Ifako Ogba,Ifako Ogba Ogba Lagos,Mini Flat,Ogba,Lagos,1,1,1.0,2026-05-07,1500000
Spacious Waterfront 4 Bedroom Apartment With Premium Facilities,Ocean Parade Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,4,4,5.0,2026-03-29,60000000
3 Bedroom Waterfront Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,3.0,2026-03-29,25000000
Luxury And Spacious 3 Bedroom Terrace House With Swimming Pool And 24hrs Security,Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,3,3,4.0,2026-03-29,50000000
Serviced 2 Bedroom Apartment With 24 Hour Power & Security,Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-03-11,12000000
Fully Furnished 4 Bedroom Terrace Duplex In A Secure Estate,Harris Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-03-11,15000000
Spacious 3 Bedroom Self Serviced Apartment,Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-11,12000000
Brand New 3 Bedroom Serviced Apartment In An Access Controlled Estate,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-03-11,25000000
Newly Built 4 Bedroom Duplex,Periwinkle Estate Freedom Way Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Edo,4,4,5.0,2026-06-03,30000000
Luxury Room And Parlor Downstairs,Elder Nwuba Street Orchid Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,1.0,2026-06-03,3600000
Furnished 3 Bedroom,Cromwell Estate Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-04,12000000
Luxury Room Upstairs,Salem Ikate Elegushi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-01,2700000
Sharp Room Upstairs,Rockstoneville Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,1,1,2.0,2026-06-01,750000
Ikeja Gra 3bedrm Flat For Rent,Off Fajuyi Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,3,4.0,2025-09-27,10000000
To Let Standard 3 Bedroom Flat At Aguda Surulere,Aguda Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,3,3,3.0,2026-04-29,6000000
