Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
1 Bedroom Shortlet In Osapa London,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-23,6000000
Self Service 4 Bedrooms Duplex In Ikate Lekki,Ikate Lekki Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,13000000
"Luxury 3 Bedroom Apartment With Gym, Pool In Victoria Island",Victoria Island Victoria Island Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,4.0,2026-06-23,25000000
Fully Serviced 3 Bedrooms Apartment In Lekki Phase One,Main Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,20000000
Self Compound 4 Bedrooms Semi Detached Duplex In Ikate Lekki,Off Freedom Way Ikate Lekki Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Edo,4,4,5.0,2026-06-23,24000000
Luxury 4 Bedroom Terrace Duplex In Ikate Lekki,Kunsela Ikate Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-06-23,20000000
Luxury 5 Bedroom Fully Duplex Duplex In Pinnock Beach Osapa,Pinnock Beach Osapa Lekki Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,25000000
Luxury 4 Bedroom Fully Detached Duplex With Bq,Ikota Lekki Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,15000000
Brand New 4 Bedrooms Semi Detached Duplex For Rent In Ajah,Atlantic Nominee General Paint Abraham Adesanya Ajah Lagos,Terraced Duplex,Ajah,Lagos,4,4,5.0,2026-06-23,7000000
"28 Units Of 3 Bedrooms Apartment With Bq, Pool,gym In Old Ikoyi",Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-23,50000000
Brand New 5 Bedrooms Fully Detached Duplex With Bq In Orchids,Orchid Road Lekki Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,15000000
Luxury 3 Bedroom Apartment With Excellent Views +bq+furniture+swimming Pool+gym Etc,Off Awolowo Road Ikoyi Ikoyi South West Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-09,54676800
Brand New Fully Serviced 3 Bedrooms Apartment With Bq In Lekki Phase One,Main Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,22500000
