Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Tastefully Finished 3 Bedroom Apartment,Ajose Adeogun Street Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,2026-06-01,35000000
Mini Flat,Idado Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-20,3500000
Serviced 2bedroom Flat,Ikate Ilasan Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-09,8500000
Standard Spacious 3 Bedroom Apartment,Lekki Scheme 2 Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,3,4,2026-06-08,6500000
Serviced 2 Bedroom Flat With Solar Panels,Sangotedo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Edo,2,2,2026-06-12,4000000
3 Bedroom Maisonette,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-05-18,35000000
3 Bedroom Apartment,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,0,2026-03-24,65000000
Executive 3 Bedroom Flat,Mobil Road Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,3,3,2026-06-03,4000000
Fully Serviced 2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-30,15000000
Fully Furnished Two Bedroom Apartment,Ikate Lekki Lagos Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-02,14000000
2 Bedroom Apartment,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-23,7000000
Serviced Studio Apartment With Open Kitchen,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-03,3000000
Luxury Super Spacious 2 Bedroom Apartment.,Salvation Estate Ado Ajah Lagos,Luxury Apartment,Ajah,Lagos,2,3,2026-06-22,3200000
4 Bedroom Tastefully Finished Apartment,Kofo Abayomi Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,4,4,2026-05-29,60000000
Masters Bedroom Upstairs,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,3700000
Single Room Sharing Kitchen With 1 Person,Osapa London Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,2300000
Luxury Mini Flat Super Spacious,Harmony Estate Ado Ajah Lagos,Mini Flat,Ajah,Lagos,1,2,2026-06-19,1800000
Premium 3 Bedroom Furnished Apartment (ocean View),Eko Atlantic City Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,2026-06-16,84000000
2 Unit Of Semi Masters Bedroom,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-08,1800000
Neatly Built 3 Bedroom Flat Upstairs,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,3,4,2026-06-12,3500000
