Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Newly Built 2 Bedroom Flat,Somolu Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2026-06-19,3500000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-06-19,2000000
Newly Built 2 Bedroom Flat,Sabo Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-19,5500000
A 2 Units 2 Bedroom Flat,Uyo Akwa Ibom,Detached / Semi-Detached Duplex,Akwa,Akwa Ibom,0,0,2026-06-15,600000
"Newly Built, Spacious & Standard *miniflat*",Ilupeju Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Ilupeju,Lagos,1,1,2026-06-22,2000000
Newly Built Room Self Contain,Somolu Onipanu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-09,1300000
Serviced 3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,0,2026-02-13,12000000
3bedroom Apartment,Eleganza Gardens Vgc Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-19,6000000
Standard And Spacious All Types Of Units,Ogombo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,1,2026-06-06,3500000
Furnished 2bedroom Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-17,9000000
Newly Renovated 3 Bedroom Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-04-13,6000000
Newly Built Room Self Contain,Abiodun Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-27,1500000
Newly Built 2 Bedroom Flat,Palmgroove Ikorodu Road (ilupeju) Ilupeju Lagos,Detached / Semi-Detached Duplex,Ikorodu,Lagos,2,2,2026-06-05,4800000
Brand New 3 Bedroom Flat & Bq,"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,4,2026-05-27,9000000
Mini Flat,Osapa London Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2025-10-02,3500000
Spacious 4 Bedroom Flat Apartment,Morgan Estate Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,4,3,2026-06-07,4500000
Standard And Executive 2bedroom Flat:,Cement Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,2,2,2026-06-22,3000000
Newly Built 4 Bedroom Semi Detached Duplex With Bq,Ayo Jagun Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,2026-05-26,40000000
4 Units Of Mini Flat And 8 Units 2 Bedroom Flat,Agungi Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-03-25,3500000
Shared Apartment Pay And Pack Inn,Oral Estate Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-02,1800000
Serviced 3 Bedroom Flat,Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,0,2026-02-16,30000000
Standard 3 Bedroom Flat Apartment,Mofoluku Oshodi Lagos,Detached / Semi-Detached Duplex,Oshodi,Lagos,3,2,2026-06-05,3500000
Very Nice And Spacious Roomself,Josodat Estate New Garage Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,1,0,2026-06-03,1000000
Newly Built And Standard 3 Bedroom Flat,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-17,4000000
Shared Apartment,Chevron Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-11,1500000
Spacious Studio Apartment,Boudilion Court Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-12,2000000
Standard And Spacious Miniflat,Off Ajayi Ogba Lagos,Detached / Semi-Detached Duplex,Ogba,Lagos,1,1,2026-06-01,1500000
"Come With Your Clothes Only, Fully Furnished Bedsitter",Chevron Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-01,350000
À Standard Roomself Contain,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-21,1200000
Roomself Contained,Ikota Villa Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-13,1700000
Luxury Sharp Studio Apartment,Ikota Lekki Lagos,Luxury Apartment,Lekki,Lagos,1,1,2026-04-21,1550000
"A Neatly Used And Standard Miniflat, Upstairs",Feyishara Street Pedro Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-22,2100000
Brand New Fully Serviced 3 Bedroom Flat,Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,3,2026-03-31,25000000
Luxury 3 Bedroom Apartment,Victoria Island Lagos,Luxury Apartment,Victoria Island,Lagos,0,0,2026-02-17,65000000
Newly Built Standard Mini Flat,No 50 Adegboyega Street Ilupeju Lagos,Mini Flat,Ilupeju,Lagos,1,1,2026-06-15,2500000
Decent Mini Flat,Alagomeji Alagomeji Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-29,2500000
Newly Built And Standard 2 Bedroom Flat,General Hospital Rd Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2026-06-04,5000000
Newly Built Room Self Contained,Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-12,2000000
Newly Built Room Self Contain,Bajulaiye Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-15,1200000
Newly Built Room Self Contain,Morocco Fola Agoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-06-19,850000
Newly Built Room Self Contain,Fadeyi Jibowu Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-07,1000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2026-02-16,11000000
2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,6500000
Stndard And Executive 2bedroom Flat,Cement Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,2,2,2026-06-22,3000000
Decent 3 Bedroom Flat,Sholuyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-21,5000000
Furnished 2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-19,10000000
2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,8000000
1 Room Self Contained Flat,Yaba Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,2026-01-11,1300000
Newly Built Mini Flat,Somolu Fola Agoro Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-06-19,2500000
A Luxury Standard Miniflat,Central Ogudu Lagos,Luxury Apartment,Ogudu,Lagos,1,1,2026-06-01,2300000
2bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-19,8000000
3 Bedroom Flat ( Only 4 Tenants Property),Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-05-21,3500000
Newly Built Room Self Contain,Onipan Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-07,1500000
3 Bedroom All Rooms Ensuite Flat,"Sabo Alagomeji, Yaba Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-04-02,7000000
1 Bedroom Apartment,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,2026-04-04,1000000
2 Bedroom All Rooms Ensuite Apartment,"Sabo Onike, Yaba, Lagos Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-19,3500000
Office Space,Victoria Island Lagos,Commercial Property,Victoria Island,Lagos,0,0,2026-05-14,550000
Standard And Spacious Miniflat,Adekunle Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-06-01,2200000
A Nice Built And Standard Roomself Contain,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-13,1500000
3 Bedroom Flat,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,0,2026-03-10,25000000
Fully Serviced And Furnished 3 Bedroom Flat With Bq,Eko Atlantic City Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,0,2026-06-08,82015200
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2026-06-09,20000000
2 Bedroom Flat,Harris Drive Vgc Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-01-20,6000000
3 Bedroom Apartment,Off Lawrence Road Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-03-31,40000000
Fully Serviced 2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-02-08,7000000
Mini Flat,Agungi Lekki Lagos Agungi Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-04-02,5000000
Shared Apartment,Orchid Road Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-02,1700000
Furnished 2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-09,7000000
Sharp Spacious Semi Masters Pay And Pack Inn,Royal Pine Estate Orchid Road Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-02,2300000
Luxury Brand New Shared Apartment Pay And Pack Inn,Osapa London Osapa London Lekki Lagos,Luxury Apartment,Lekki,Lagos,1,1,2026-06-02,2000000
Shared Apartment,Victoria Crest Orchid Road Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-22,2000000
Shared Apartment,Orchid Road Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-11,1900000
4 Bedroom Fully Detached All Rooms Ensuite Duplex,Yaba Yaba Lagos,Terraced Duplex,Yaba,Lagos,4,4,2026-05-08,6500000
New 2 Bedroom All Rooms Ensuite Apartment (upstairs,"Alagomeji Sabo, Yaba, Lagos Sabo Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-05-31,5000000
2 Bedroom All Rooms Ensuite Flat,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-01,4300000
3 Bedroom Apartment,Sabo Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,0,2026-05-03,5000000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-07,2000000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-12,2000000
Newly Built Room Self Contained,Pedro Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-15,1500000
Newly Built Mini Flat,Bajulaiye Shomolu Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,2026-06-07,2500000
Newly Built Room Self Contain,Bajulaiye Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-07,1100000
Newly Built Mini Flat,Adekunle Ebute Metta Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-21,2500000
Newly Built Mini Flat,Adekunle Ebute Metta Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-21,2000000
Decent Mini Flat,Somolu Fola Agoro Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-21,2500000
Newly Built 2 Bedroom Flat,Folagoro Fola Agoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-05-21,4000000
Newly Built Room Self Contain,Fadeyi Jibowu Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-27,1200000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-27,2500000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-27,2000000
Newly Built 2 Bedroom Flat,Ikorodu Road (ilupeju) Ilupeju Lagos,Detached / Semi-Detached Duplex,Ikorodu,Lagos,2,2,2026-06-15,4500000
2 Bedroom Apartment,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-09,6000000
1bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-22,6000000
A Nicely Built And Standard 2 Bedroom Apartment,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-10,55000002
Newly Built Mini Flat Well Screed With Pop Ceiling,"Ogbere Street, Off Ilaje Road Bariga Lagos",Mini Flat,Bariga,Lagos,1,1,2026-06-22,2200000
A Renovated 2 Unit Of Room Self Contained,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-12,1200000
Very Clean 3 Bedroom Flat For Rent,Akupe Estate Maryland Lagos,Detached / Semi-Detached Duplex,Maryland,Lagos,3,3,2026-06-22,5500000
Brand New Luxury 2bedroom Apartment,Ologolo Ologolo Lekki Lagos,Luxury Apartment,Lekki,Lagos,2,2,2026-06-07,7000000
Newly Renovated 3 Bedroom Apartment,Off Pedro By Owotutu Bus Stop Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-05,4000000
Beautiful 2 Bedroom Flat + 2 Balconies,"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-02,5000000
Newly Built Room Self Contain,Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-12,800000
New Luxury 2 Bedroom Apartment,"Mobil Road, Ilaje Ajah Lagos",Luxury Apartment,Ajah,Lagos,2,2,2026-03-23,4500000
Bonanza A Room In A Shared Apartment To Share Kitchen,"Conservation Center, Chevron Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-09,1500000
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-22,11000000
2bedroom Apartment (1st And 2nd Floor),"Blue Waters Apartments, Oniru Victoria Island Lagos",Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-06-22,18000000
Standard Newly Renovated Miniflat,Alapere Ogudu Orike Ogudu Lagos,Detached / Semi-Detached Duplex,Ogudu,Lagos,1,1,2026-06-01,1600000
A Renovated Miniflat Apartment,Orioke Ogudu Lagos,Detached / Semi-Detached Duplex,Ogudu,Lagos,1,1,2026-06-05,2000000
Neatly Used 3 Bedroom Flat,Luth Rd Mushin Lagos,Detached / Semi-Detached Duplex,Mushin,Lagos,3,2,2026-06-17,2000000
Newly Built Room Self Contain,Somolu Fola Agoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-06-19,850000
Newly Built Room Self Contain,Ladi Lak Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-15,1000000
2 Bedroom Flat,In An Estate In Yaba Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-08,2500000
Mini Flat,Atlantic View Estate Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-04-08,3000000
Semi Masters Bedroom Flat,Agungi Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-24,2200000
3 Bedroom Apartment,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-04-10,35000000
An Executive Tastefully Roomself Contain,Abule Oja Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-10,800000
Mini Flat,"Yaba, Lagos. Yaba Lagos",Mini Flat,Yaba,Lagos,1,1,2026-04-20,2500000
Room Self Contained,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,2026-04-04,1000000
Newly Renovated 3 Bedroom Up N Down Flat,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-17,5000000
Roomself Contain,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-20,2000000
Spacious 3 Bedroom Flat,Alagomeji Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,2,2026-05-29,5000000
Newly Built 3 Bedroom Flat With Bq,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,3,2026-02-25,20000000
Newly Built 2 Bedroom Flat,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-01-20,5000000
Decent 3bedroom Upflat @uba Axis Ifako,Uba Axis Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-22,6000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-19,7000000
"Newly Built, Spacious & Standard *miniflat*",Fedeyi Onipanu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-22,1500000
3bedroom Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-19,7000000
Spacious Masters Bedroom,Abraham Adesanya Estate Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,1,1,2026-05-19,1000000
Newly Built 2 Bedroom Flat,Oyadiran Sabo Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-17,3000000
Studio Apartment,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-09,1700000
Newly Built 2 Bedroom Flat,Yaba Estate Sabo Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-06-19,7500000
Newly Built Mini Flat,Somolu Shomolu Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,2026-06-19,2500000
Luxury 3 Bedroom Apartment With Bq,"Conservation Center, Chevron Lekki Lagos",Luxury Apartment,Lekki,Lagos,3,3,2026-02-12,7000000
2bedroom Apartment,Ilasan Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-17,11000000
2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,10000000
Standard And Executive 2bedroom Flat To Let,Obanikoro Estate Obanikoro Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2026-06-22,3000000
2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,11000000
2bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-17,14000000
Luxury 2 Bedroom Flat,Ebute Metta Yaba Lagos,Luxury Apartment,Yaba,Lagos,2,2,2026-05-31,6000000
Brand New 5bedroom Semi Detached Duplex,Ogudu Gra Ogudu Lagos,Terraced Duplex,Ogudu,Lagos,5,5,2026-06-01,25000000
A Nice Built And Standard Roomself Contain Apartment,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-13,1500000
A Nicely Built And Standard Miniflat,Off Market Str Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,2026-06-10,2200000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-05-12,25000000
Newly Built 2 Bed Apartment In Orchid,Buena Vista Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,6000000
Lovely 2 Bedroom Ensuite Apartment,Off Herbert Macaulay Way Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-05-08,4000000
3 Bedroom Apartment,Sabo Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-05-09,5000000
3 Bedroom Flat,"Off Herbert Macaulay Way, Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-05-17,3500000
3 Bedroom All Rooms Ensuite Apartment,"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-04-20,7000000
Mini Flat,"In An Estate Like Neighborhood, Yaba Lagos",Mini Flat,Yaba,Lagos,1,1,2026-04-21,2000000
2 Bedroom Flat,"Sabo Alagomeji, Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-05-05,5000000
3 Bedroom Flat,"Off Herbert Macaulay Way, Yaba ,lagos. Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-04-02,4000000
3 Bedroom Flat,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,2026-04-03,4500000
Mini Flat,Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-04-04,1200000
New Modern 2 Bedroom Apartment,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-09,6000000
New Luxury Mini Flat Upstairs With Balcony,"Off Herbert Macaulay Way, Yaba Lagos",Mini Flat,Yaba,Lagos,1,1,2026-04-09,4000000
New Exquisite 2 Bedroom Apartment,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-17,7000000
3 Bedroom Apartment,Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,0,2026-04-18,3500000
New & Nice Miniflat,Shomolu Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-21,3000000
2 Bedroom Apartment,Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-05-19,30000000
Tastefully Finished 2 Bedroom Apartment,Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-05-21,18000000
Studio Apartment,Orchid Road Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-02,3000000
2 Bedroom Apartment,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-01-18,14000000
Newly Built 3 Bedroom Penthouse,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-04-22,12000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2026-06-09,10000000
Newly Built 3 Bedroom Flat With Bq,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-02-10,13000000
Furnished Studio Apartment,Alagomeji Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-29,2000000
Newly Built Room Self Contain,Iwaya Iwaya Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-06-05,1300000
Newly Built Mini Flat,Ladi Lak Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,2026-05-15,2000000
Decent Room Self Contain,Bajulaiye Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-21,1200000
Newly Built Room Self Contain,Fadeyi Jibowu Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-21,1500000
Newly Built Mini Flat,Fadeyi Jibowu Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-05-21,1800000
Newly Built Room Self Contain,Pedro Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-21,1200000
Newly Built Mini Flat,Somolu Shomolu Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,2026-05-07,2000000
Newly Built Room Self Contain,Somolu Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-05,1000000
2bedroom Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-23,6000000
Newly Built Spacious Roomself,Wace Fadeyi Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,2026-06-01,1550000
Decent Room Self Contain,Alagomeji Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-21,2000000
Move In Ready 3 Bedroom Flat,Off Salawu Ikoyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,2026-06-12,6000000
Serviced 2 Bedroom Apartment,Seagate Estate Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-17,10000000
2 Bedroom Apartment,Ologolo Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-18,6500000
Smart One In Town Luxury Brand New Mini Flat,Ikota Ikota Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-21,5000000
A Nice Standard Mini Flat,Makoko Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-06-12,1700000
Newly Built Room Self Contain,Onipan Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-05-27,1000000
Room And Parlour Self Contained,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-12,5000000
2 Bedroom Flat,Sabo Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2026-04-09,3000000
3 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-05-09,15000000
3 Bedroom Furnished Apartment,"Iconic Tower, Victoria Island Lagos",Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,2026-01-30,60000000
Bonanza Spacious Mini Flat With Dinning Section,Megamound Estate Ikota Lekki Lagos Ikota Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-30,3200000
Mini Flat,"Yaba, Lagos. Yaba Lagos",Mini Flat,Yaba,Lagos,1,0,2026-05-13,3500000
Luxurious Smart Fully Furnished 2 Bedroom Apartment,Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-03-31,20000000
10 Units Of 3 Bedroom Apartment,Bourdillon Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-04-01,60000000
Serviced 2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2026-02-26,14000000
Studio Apartment With Personal Kitchen,Conservation Center Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-01,3500000
